"easting","northing","npoints","id","date","dist"
274626.566906518,5802339.80291991,98,"Sage","2023-01-14",22.89796714407
274620.44656726,5802352.18336285,61,"Sage","2023-01-15",30.0285889040139
274626.287377438,5802381.63843182,27,"Sage","2023-01-15",30.0285889040139
274610.056616059,5802359.11059399,87,"Sage","2023-01-16",60.4105934685106
274606.651397517,5802355.62851526,38,"Sage","2023-01-17",34.3181176123919
274676.349736987,5802456.15772088,20,"Sage","2023-01-18",198.352431353654
274631.718738678,5802262.891684,35,"Sage","2023-01-18",198.352431353654
274562.208480415,5802241.85782391,44,"Sage","2023-01-19",23.3666318006511
274668.096444378,5802374.90365246,84,"Sage","2023-01-20",118.573062408206
274701.573237434,5802488.65283029,53,"Sage","2023-01-20",118.573062408206
274690.162386603,5802416.99094692,218,"Sage","2023-01-21",25.3571482049212
274562.162832375,5802296.48977984,39,"Sage","2023-01-22",169.37091419417
274683.167078344,5802414.99918467,281,"Sage","2023-01-22",169.37091419417
274688.461339817,5802511.02270765,51,"Sage","2023-01-23",55.1720738615328
274687.557384617,5802455.85803961,78,"Sage","2023-01-23",55.1720738615328
274727.414509547,5802416.95751894,19,"Sage","2023-01-24",44.2233328271838
274689.759264739,5802393.76731185,96,"Sage","2023-01-24",44.2233328271838
274686.966849695,5802412.3961722,73,"Sage","2023-01-25",59.0936150141543
274659.59687154,5802360.02309103,31,"Sage","2023-01-25",59.0936150141543
274689.662379096,5802491.1855654,184,"Sage","2023-01-26",66.680135200318
274685.713505355,5802424.62246131,123,"Sage","2023-01-26",66.680135200318
274774.390910163,5802574.90235716,32,"Sage","2023-01-27",145.504905969314
274692.833035125,5802454.40343318,131,"Sage","2023-01-27",145.504905969314
274687.188567622,5802449.34773925,88,"Sage","2023-01-28",162.101581069659
274797.953538193,5802567.70332163,58,"Sage","2023-01-28",162.101581069659
274686.712745694,5802415.4388137,30,"Sage","2023-01-29",54.3111413844723
274696.463848394,5802468.86742097,43,"Sage","2023-01-29",54.3111413844723
274692.200922959,5802454.09361527,87,"Sage","2023-01-30",50.9479861789683
274676.933150859,5802405.48710921,17,"Sage","2023-01-30",50.9479861789683
274688.476016859,5802448.11880102,104,"Sage","2023-01-31",70.014394439191
274717.148682686,5802511.99284632,31,"Sage","2023-01-31",70.014394439191
274692.573557409,5802444.1243731,106,"Sage","2023-02-01",38.4999299236355
274700.079614248,5802481.88551337,38,"Sage","2023-02-01",38.4999299236355
274820.631773615,5802504.77777113,51,"Sage","2023-02-02",31.8732357193924
274847.958800596,5802521.18315901,264,"Sage","2023-02-02",31.8732357193924
274879.976630932,5802525.05687496,403,"Sage","2023-02-03",42.5985173327255
274839.320278829,5802512.34095137,33,"Sage","2023-02-03",42.5985173327255
274877.626329773,5802521.09223667,429,"Sage","2023-02-04",69.8902081548707
274807.741698542,5802521.97513733,66,"Sage","2023-02-04",69.8902081548707
274881.792445779,5802515.76561438,233,"Sage","2023-02-05",37.6330190280994
274844.159667448,5802515.63101773,35,"Sage","2023-02-05",37.6330190280994
274852.835869024,5802518.26078882,176,"Sage","2023-02-06",34.1334663116429
274826.480021658,5802496.57063363,150,"Sage","2023-02-06",34.1334663116429
274705.244861781,5802412.47956069,63,"Sage","2023-02-07",241.535795505431
274876.335525167,5802582.97157051,141,"Sage","2023-02-07",241.535795505431
274853.574291692,5802540.16855078,153,"Sage","2023-02-08",79.256818386819
274777.354885194,5802561.89975723,70,"Sage","2023-02-08",79.256818386819
274861.402782944,5802537.6272579,64,"Sage","2023-02-09",29.2548177900647
274862.262018993,5802528.24434203,78,"Sage","2023-02-10",19.1293081217493
274853.667476821,5802520.09658,45,"Sage","2023-02-11",32.7099449069722
274821.8229217,5802512.62230379,154,"Sage","2023-02-11",32.7099449069722
274857.417170449,5802522.54385555,156,"Sage","2023-02-12",26.1286886620368
274846.434842317,5802521.91575236,183,"Sage","2023-02-13",27.4703973931683
274820.650116734,5802552.55703343,31,"Sage","2023-02-14",35.927386236507
274842.834146197,5802524.29670932,181,"Sage","2023-02-14",35.927386236507
274866.204934988,5802526.859649,94,"Sage","2023-02-15",22.5077950780228
274863.122865249,5802527.69458455,113,"Sage","2023-02-16",132.329969764617
274863.291774781,5802522.47057819,65,"Sage","2023-02-17",137.482427758108
274840.365878098,5802516.93344272,73,"Sage","2023-02-18",31.1950604566941
274863.487028006,5802537.87489023,29,"Sage","2023-02-18",31.1950604566941
274868.096553995,5802529.04508499,72,"Sage","2023-02-19",27.8039488230442
