"npoints","id","date","distance_previous","longitude","latitude"
67,"Sage",2023-03-25,2.80247853293587,144.431750852752,-37.9038264147572
65,"Sage",2023-03-26,10.4822283893281,144.431631704509,-37.9038277846943
68,"Sage",2023-03-27,21.322981602096,144.431442036917,-37.9039473820404
68,"Sage",2023-03-28,35.8068338404461,144.431771671085,-37.9037581612422
68,"Sage",2023-03-29,9.6008609448804,144.431774588168,-37.9038446090381
64,"Sage",2023-03-30,44.5468789884916,144.431439876877,-37.9041457178015
66,"Sage",2023-03-31,4.32324994448476,144.431467229807,-37.9041133651765
62,"Sage",2023-04-01,51.9765243067685,144.430937490163,-37.9039059916213
69,"Sage",2023-04-02,34.899742649999,144.431155218454,-37.9041687788093
66,"Sage",2023-04-03,22.6203508605678,144.430958834586,-37.9040372445515
59,"Sage",2023-04-04,51.7200365918856,144.431533296406,-37.9039380350303
67,"Sage",2023-04-05,24.8804310274259,144.431343191906,-37.9037720986984
64,"Sage",2023-04-06,74.4916959501741,144.43200635966,-37.9041893487088
59,"Sage",2023-04-07,1477.93867267055,144.442035998316,-37.8935096223633
46,"Sage",2023-04-08,1449.43333407604,144.431919595467,-37.9038143987399
47,"Sage",2023-04-09,899.344132009232,144.433437266257,-37.8958034110045
62,"Sage",2023-04-10,239.295524102809,144.433013177867,-37.8979324834463
60,"Sage",2023-04-11,22.0658660620056,144.432790374093,-37.8978411995027
59,"Sage",2023-04-12,12.3010752093466,144.432702532235,-37.8977549928605
58,"Sage",2023-04-13,146.840455062062,144.434207258579,-37.8971825961773
66,"Sage",2023-04-14,4.70789801624708,144.434213118279,-37.8971404452022
63,"Sage",2023-04-15,93.1951032662539,144.433155362763,-37.8970946055134
42,"Sage",2023-04-16,15.1477311259548,144.433300198488,-37.8971683877171
56,"Sage",2023-04-17,53.8577141625447,144.433104106709,-37.8967088291869
64,"Sage",2023-04-18,54.4813196934776,144.43306565285,-37.8971986174778
66,"Sage",2023-04-19,11.8456369907286,144.433045126909,-37.8970931660835
62,"Sage",2023-04-20,11.2628073152937,144.43309956211,-37.8971849872386
62,"Sage",2023-04-21,49.2045068396591,144.43258125589,-37.8973515421975
63,"Sage",2023-04-22,25.1424557990555,144.432386125848,-37.8975170075042
62,"Sage",2023-04-23,4.60829943781717,144.432395688967,-37.8974761963071
64,"Sage",2023-04-24,44.3859894682094,144.432893514653,-37.897541165663
65,"Sage",2023-04-25,103.110103148395,144.433651969497,-37.8968330974162
61,"Sage",2023-04-26,46.779137723908,144.433328597898,-37.8971675817234
64,"Sage",2023-04-27,138.602860109221,144.434295177361,-37.8961817027707
63,"Sage",2023-04-28,40.0242354520051,144.434126839182,-37.8958467760274
61,"Sage",2023-04-29,10.8421639001658,144.434245375773,-37.8958200553716
60,"Sage",2023-04-30,27.2221063822554,144.433973693566,-37.8959374128631
59,"Sage",2023-05-01,29.0514951605238,144.433802459493,-37.896161161174
60,"Sage",2023-05-02,71.2979261647162,144.434611765367,-37.8961274467678
63,"Sage",2023-05-03,172.201010484919,144.432654486752,-37.8961133807261
58,"Sage",2023-05-04,55.0083918049485,144.433240956475,-37.8959415700896
57,"Sage",2023-05-05,37.6429514382252,144.433591608549,-37.8957472685067
51,"Sage",2023-05-06,42.3404397263412,144.433292164496,-37.8960458344878
47,"Sage",2023-05-07,5.76926062966903,144.433356751819,-37.8960368383749
58,"Sage",2023-05-08,52.9584318014804,144.43276161987,-37.8961084958322
49,"Sage",2023-05-09,49.9964669188788,144.433313486602,-37.8960009984646
54,"Sage",2023-05-10,16.517953131082,144.433133160556,-37.8960424352952
43,"Sage",2023-05-11,43.8740317789738,144.432675738653,-37.8961998696016
55,"Sage",2023-05-12,5.77938955888844,144.432682106728,-37.8961480574721
55,"Sage",2023-05-13,44.487283378874,144.433157348687,-37.89601114469
58,"Sage",2023-05-14,40.9991331163579,144.433623215339,-37.8960207580286
60,"Sage",2023-05-15,63.473893918619,144.433030700833,-37.8963469824752
60,"Sage",2023-05-16,95.9669134429243,144.432831319295,-37.8971968334411
58,"Sage",2023-05-17,49.2230484483808,144.432424611018,-37.8968923506649
60,"Sage",2023-05-18,82.6394596552878,144.431529998832,-37.8971193314475
53,"Sage",2023-05-19,9.20878703788057,144.431473642142,-37.8971892303363
57,"Sage",2023-05-20,4.20799817286626,144.431477061462,-37.8972270364735
53,"Sage",2023-05-21,1.57521239298339,144.431466444482,-37.8972384616199
54,"Sage",2023-05-22,6.19876370271454,144.431486906843,-37.8972918900191
54,"Sage",2023-05-23,79.2426024906382,144.432381241505,-37.8973768729753
57,"Sage",2023-05-24,111.707236631885,144.431124236347,-37.8975191620934
51,"Sage",2023-05-25,28.2684628580652,144.431001850128,-37.897754594877
51,"Sage",2023-05-26,13.2253230229337,144.431149651062,-37.8977763607474
53,"Sage",2023-05-27,4.9641501433671,144.431152631597,-37.8977317091084
49,"Sage",2023-05-28,15.9984464245037,144.431201856962,-37.8978704336543
55,"Sage",2023-05-29,39.6551637963793,144.431622591949,-37.8977422541862
56,"Sage",2023-05-30,22.9519241911805,144.431369236387,-37.8977915904545
56,"Sage",2023-05-31,11.8286210770211,144.431285313518,-37.8977083479388
32,"Sage",2023-06-01,67.9241387985179,144.432057380506,-37.8977130653796
56,"Sage",2023-06-02,16.4684045492164,144.431906836308,-37.897624901499
57,"Sage",2023-06-03,6.16796330187175,144.431845681733,-37.8975977312247
46,"Sage",2023-06-04,707.809177161572,144.433385768367,-37.9038553657998
28,"Sage",2023-06-05,831.202394206913,144.433353423198,-37.8963684362303
8,"Sage",2023-06-06,121.562046517165,144.433454513572,-37.8974604606741
9,"Sage",2023-06-07,70.7286069998455,144.433320787993,-37.8980886672218
38,"Sage",2023-06-08,278.797453105904,144.435436047841,-37.899958660994
53,"Sage",2023-06-09,434.760419207894,144.43311410671,-37.9034156083988
34,"Sage",2023-06-10,443.794512217596,144.434860678206,-37.8996653837981
56,"Sage",2023-06-11,33.2757131130817,144.435182845077,-37.8998224401759
57,"Sage",2023-06-12,20.0430902342422,144.435410616693,-37.8998267194748
55,"Sage",2023-06-13,40.2617019462176,144.435587657654,-37.8994922987202
33,"Sage",2023-06-14,39.3286127088251,144.435979669736,-37.8996625959961
54,"Sage",2023-06-15,30.6333203319798,144.436087714807,-37.8994002874344
43,"Sage",2023-06-16,12.2538499995525,144.436168227817,-37.8994903567834
54,"Sage",2023-06-17,73.999947035221,144.436674047752,-37.8989577827908
53,"Sage",2023-06-18,35.4361466414226,144.436924485945,-37.8992077813112
55,"Sage",2023-06-19,107.142207915418,144.436016831764,-37.8985642953522
56,"Sage",2023-06-20,129.018710611723,144.43599210523,-37.8997262551243
55,"Sage",2023-06-21,49.8323668069433,144.435425914309,-37.8997400474751
51,"Sage",2023-06-22,21.370202268229,144.435184852766,-37.8997638190683
52,"Sage",2023-06-23,29.1376557699062,144.434872847454,-37.899675736171
55,"Sage",2023-06-24,10.4572438267282,144.434857177773,-37.8997691068592
52,"Sage",2023-06-25,76.6119558802811,144.434350819493,-37.9003305456302
37,"Sage",2023-06-26,71.723832947009,144.435091998123,-37.9005997119992
13,"Sage",2023-06-27,43.1023960791997,144.435578566948,-37.9006453296985
90,"Koda",2022-12-15,378.566062557955,144.435633172107,-37.8991259682783
94,"Koda",2022-12-16,12.4225348963212,144.435537784952,-37.8992084749099
98,"Koda",2022-12-17,10.3412651599364,144.435430098534,-37.8992458266884
99,"Koda",2022-12-18,31.2149031085128,144.435780689067,-37.8992891411072
97,"Koda",2022-12-19,52.6441961007341,144.436360624546,-37.8991722029267
94,"Koda",2022-12-20,243.637358216044,144.43727371522,-37.8971003675671
94,"Koda",2022-12-21,22.3446547704301,144.43722014839,-37.8969036269106
90,"Koda",2022-12-22,173.551169479579,144.437325203265,-37.8953425962237
88,"Koda",2022-12-23,432.625832255846,144.436389403008,-37.8991682314374
94,"Koda",2022-12-24,158.166414428262,144.438112299878,-37.8987610189069
86,"Koda",2022-12-25,15.086863593717,144.438104496516,-37.8988967719285
85,"Koda",2022-12-26,3.24993007303765,144.438093479318,-37.8988688305112
85,"Koda",2022-12-27,181.424461471658,144.438047881134,-37.8972350628433
74,"Koda",2022-12-28,108.131451361199,144.437797133901,-37.8981885658283
88,"Koda",2022-12-29,91.1838194548911,144.438297445216,-37.8989078785145
87,"Koda",2022-12-30,111.45137285989,144.438025288551,-37.8979274268743
90,"Koda",2022-12-31,112.986036437512,144.438178167571,-37.8989379041979
85,"Koda",2023-01-01,189.293415455262,144.436049158502,-37.89918504696
87,"Koda",2023-01-02,34.5978494268285,144.436312796222,-37.8989537999159
87,"Koda",2023-01-03,5.76705129506837,144.43624737626,-37.8989504673727
92,"Koda",2023-01-04,33.0575838768371,144.436433875043,-37.8986919655606
93,"Koda",2023-01-05,59.1545391898657,144.436904251134,-37.8983112049012
97,"Koda",2023-01-06,30.5650026238012,144.436853468879,-37.898583559967
93,"Koda",2023-01-07,73.6130360929164,144.43613638946,-37.8989252891623
89,"Koda",2023-01-08,16.600442918844,144.436273467668,-37.8990280494814
94,"Koda",2023-01-09,13.2101699186272,144.436263064485,-37.8989093458903
93,"Koda",2023-01-10,4.3985036389961,144.436249435503,-37.8988712270839
85,"Koda",2023-01-11,11.9128878890226,144.436124914123,-37.898913394865
90,"Koda",2023-01-12,136.225463836703,144.437116159764,-37.8979707098616
82,"Koda",2023-01-13,35.774228026667,144.436812239602,-37.8981848003108
84,"Koda",2023-01-14,45.5370091102761,144.436890011638,-37.8985903150751
86,"Koda",2023-01-15,19.0068440153609,144.436729076323,-37.8984760907181
85,"Koda",2023-01-16,4.72934562719127,144.436688770931,-37.8985042798229
86,"Koda",2023-01-17,17.3863263830098,144.436863388939,-37.8985776239335
86,"Koda",2023-01-18,39.8392416957414,144.437175485683,-37.8983176036318
84,"Koda",2023-01-19,14.892066801411,144.437026432795,-37.8983811880182
81,"Koda",2023-01-20,41.0786750114931,144.437253599953,-37.8980579145618
85,"Koda",2023-01-21,24.9445052829541,144.437513463524,-37.8979680230403
91,"Koda",2023-01-22,18.7251072602843,144.43744298947,-37.8978088715121
90,"Koda",2023-01-23,41.9162351045379,144.437480672152,-37.8974324969375
86,"Koda",2023-01-24,80.724877749409,144.437580020055,-37.8981553457048
85,"Koda",2023-01-25,18.0583624648723,144.437386187843,-37.8981018068377
88,"Koda",2023-01-26,48.6823599843737,144.437478152684,-37.8976694021773
91,"Koda",2023-01-27,49.3548989833792,144.437864201403,-37.8973468330256
83,"Koda",2023-01-28,24.8191468643907,144.438118077489,-37.8972493389256
85,"Koda",2023-01-29,62.8097846656348,144.437603401073,-37.897641440144
72,"Koda",2023-01-30,46.3092914940373,144.437372636914,-37.8980163491421
89,"Koda",2023-01-31,65.8014137563988,144.43781752108,-37.8975398894608
88,"Koda",2023-02-01,22.4366371370742,144.437587738128,-37.8976275705591
89,"Koda",2023-02-02,49.9660203273362,144.437743969358,-37.8980602736999
89,"Koda",2023-02-03,207.429526439485,144.43976893057,-37.8971031279071
88,"Koda",2023-02-04,16.5967095454669,144.439581437227,-37.8970865774063
85,"Koda",2023-02-05,13.1022959919526,144.439522417835,-37.8969782217036
75,"Koda",2023-02-06,27.395014354552,144.439215698006,-37.897020823703
81,"Koda",2023-02-07,196.851938389202,144.437531648707,-37.8981883680856
89,"Koda",2023-02-08,209.278890033793,144.439232643092,-37.8968705602217
85,"Koda",2023-02-09,24.5136608264919,144.439451868673,-37.8970068542077
83,"Koda",2023-02-10,12.305677928192,144.439583284311,-37.8969688875476
86,"Koda",2023-02-11,33.227638462695,144.439238082335,-37.8970903356186
