"x","y","npoints","id","date"
274528.151758608,5802176.82149501,53,"Maeve",2023-06-29
274575.259256262,5802122.00333156,55,"Maeve",2023-06-30
274557.613271347,5802137.22495005,57,"Maeve",2023-07-01
274524.624263007,5802140.15364448,48,"Maeve",2023-07-02
274551.594302945,5802141.68744754,54,"Maeve",2023-07-03
274567.547725991,5802088.92286308,58,"Maeve",2023-07-04
274592.271815914,5802119.30296862,58,"Maeve",2023-07-05
275092.293194224,5801739.95027851,57,"Maeve",2023-07-06
275065.270504051,5801658.00859128,49,"Maeve",2023-07-07
275049.634008426,5801646.89365639,56,"Maeve",2023-07-08
275068.545541138,5801663.46842115,59,"Maeve",2023-07-09
275050.911552185,5801633.24731782,57,"Maeve",2023-07-10
275074.077151402,5801657.63648967,49,"Maeve",2023-07-11
275015.921283985,5801539.81831527,55,"Maeve",2023-07-12
275051.505395545,5801618.8999496,58,"Maeve",2023-07-13
275047.82268487,5801622.9069196,56,"Maeve",2023-07-14
275056.875857459,5801614.70120064,58,"Maeve",2023-07-15
275088.553590418,5801698.15650406,52,"Maeve",2023-07-16
275111.236607252,5801770.62794658,59,"Maeve",2023-07-17
275054.908072361,5801630.4289929,63,"Maeve",2023-07-18
275052.902425771,5801577.71835828,63,"Maeve",2023-07-19
275021.926380866,5801537.35684785,56,"Maeve",2023-07-20
275078.011393466,5801712.62870008,64,"Maeve",2023-07-21
275096.082071121,5801706.66887853,63,"Maeve",2023-07-22
275059.830241594,5801594.10625466,57,"Maeve",2023-07-23
275043.996129867,5801613.80081665,61,"Maeve",2023-07-24
275022.680102417,5801488.93697313,64,"Maeve",2023-07-25
275045.782059578,5801573.19875302,66,"Maeve",2023-07-26
275010.300363006,5801466.06992774,64,"Maeve",2023-07-27
275006.393817548,5801476.19187573,67,"Maeve",2023-07-28
275006.26604092,5801490.11763207,63,"Maeve",2023-07-29
275016.227876604,5801503.35138837,59,"Maeve",2023-07-30
275016.926129638,5801479.89282716,63,"Maeve",2023-07-31
275064.976689765,5801611.78045114,62,"Maeve",2023-08-01
275048.615962532,5802910.96385137,62,"Maeve",2023-08-02
274681.765307418,5802159.3560032,63,"Maeve",2023-08-03
274446.333630097,5802134.68939791,53,"Athena",2023-06-10
274462.068847725,5802082.12154527,56,"Athena",2023-06-11
274487.024531854,5802082.69604946,57,"Athena",2023-06-12
274521.348749936,5802240.26343778,57,"Athena",2023-06-13
274554.182108199,5802196.77257678,54,"Athena",2023-06-14
274522.117744354,5802141.95818025,52,"Athena",2023-06-15
274516.162241135,5802135.38483917,51,"Athena",2023-06-16
274610.198199562,5802293.35354197,58,"Athena",2023-06-17
274644.201154275,5802273.68731953,61,"Athena",2023-06-18
274610.225221734,5802266.3885084,57,"Athena",2023-06-19
274525.826062,5802171.72023731,60,"Athena",2023-06-20
274461.330059821,5802152.82881838,60,"Athena",2023-06-21
274495.883905952,5802220.58067261,54,"Athena",2023-06-22
274488.653628471,5802212.66566389,53,"Athena",2023-06-23
274482.562880004,5802215.70804239,58,"Athena",2023-06-24
274418.527005181,5802110.70840683,56,"Athena",2023-06-25
274482.543763148,5802212.94748001,56,"Athena",2023-06-26
274516.932522303,5802198.69694048,57,"Athena",2023-06-27
274564.795687356,5802130.48031989,57,"Athena",2023-06-28
274511.985481699,5802131.21064006,56,"Athena",2023-06-29
274562.411092587,5802141.77487607,56,"Athena",2023-06-30
274554.029857267,5802135.77767826,55,"Athena",2023-07-01
274589.523186885,5802167.96668656,55,"Athena",2023-07-02
275036.851585439,5801645.22640487,56,"Athena",2023-07-03
274564.55265765,5802109.24929088,56,"Athena",2023-07-04
274587.976182234,5802075.14544173,58,"Athena",2023-07-05
274563.737646132,5802173.39677816,55,"Athena",2023-07-06
274657.710515001,5802205.88392464,57,"Athena",2023-07-07
274678.39062776,5802202.57552831,64,"Athena",2023-07-08
274685.970827442,5802207.38368818,56,"Athena",2023-07-09
274671.447826706,5802193.78958926,57,"Athena",2023-07-10
274661.711847819,5802188.365366,60,"Athena",2023-07-11
274661.010137844,5802214.39590718,57,"Athena",2023-07-12
274659.243569801,5802192.0216567,58,"Athena",2023-07-13
274675.813829896,5802216.45464688,53,"Athena",2023-07-14
274504.903972399,5802206.85007914,55,"Athena",2023-07-15
274456.339002711,5802106.28249845,57,"Athena",2023-07-16
274636.824918285,5802181.11810773,54,"Athena",2023-07-17
274687.93207145,5802259.16775407,57,"Athena",2023-07-18
274522.702712871,5802157.00353087,61,"Athena",2023-07-19
274426.58046065,5802060.439866,55,"Athena",2023-07-20
274602.980898062,5802144.61100201,64,"Athena",2023-07-21
274657.657844421,5802214.01080472,59,"Athena",2023-07-22
274693.789442848,5802201.98561138,60,"Athena",2023-07-23
274676.939483716,5802202.6981623,58,"Athena",2023-07-24
274677.296757847,5802225.94100731,62,"Athena",2023-07-25
274672.999487813,5802208.93092017,62,"Athena",2023-07-26
274706.22475959,5802215.02511119,66,"Athena",2023-07-27
274672.870918217,5802235.66612055,62,"Athena",2023-07-28
274670.816731338,5802196.44919689,64,"Athena",2023-07-29
274676.009611491,5802195.33221541,67,"Athena",2023-07-30
274684.208905889,5802222.68021314,62,"Athena",2023-07-31
274696.160142239,5802182.00905858,59,"Athena",2023-08-01
274695.025739164,5802172.71851386,62,"Athena",2023-08-02
274678.924891325,5802159.93387896,68,"Athena",2023-08-03
274561.817441133,5802316.55557693,39,"Rocky",2023-06-10
274699.996290807,5802463.96537485,54,"Rocky",2023-06-11
274686.071603399,5802457.95724048,57,"Rocky",2023-06-12
274685.097129644,5802458.97196715,56,"Rocky",2023-06-13
274692.592752074,5802448.87382558,56,"Rocky",2023-06-14
274696.684273962,5802460.57425006,58,"Rocky",2023-06-15
274638.612689185,5802330.81067092,55,"Rocky",2023-06-16
274612.268733418,5802302.03627192,56,"Rocky",2023-06-17
274630.631932609,5802264.17497514,62,"Rocky",2023-06-18
274605.359801691,5802281.38804416,57,"Rocky",2023-06-19
274575.814556755,5802211.75793999,58,"Rocky",2023-06-20
274455.413116192,5802148.25976973,60,"Rocky",2023-06-21
274494.232359319,5802212.56544963,56,"Rocky",2023-06-22
274486.336999506,5802208.46120004,53,"Rocky",2023-06-23
274512.000438625,5802166.06512376,51,"Rocky",2023-06-24
274423.999572013,5802112.8702826,57,"Rocky",2023-06-25
274542.442222544,5802201.03237866,52,"Rocky",2023-06-26
274564.783360448,5802231.81176834,54,"Rocky",2023-06-27
274510.483476941,5802134.10721158,51,"Rocky",2023-06-28
274533.264441595,5802156.89865359,58,"Rocky",2023-06-29
274514.89579977,5802081.26704101,47,"Rocky",2023-06-30
274570.786701121,5802131.09377991,58,"Rocky",2023-07-01
274561.671623322,5802136.40568015,56,"Rocky",2023-07-02
274552.210089791,5802119.30499689,54,"Rocky",2023-07-03
274573.970664816,5802103.87486145,54,"Rocky",2023-07-04
274570.79612613,5802115.31897608,57,"Rocky",2023-07-05
274538.795818745,5802155.85395396,57,"Rocky",2023-07-06
274645.090853751,5802200.22989035,56,"Rocky",2023-07-07
275065.74992039,5801664.13595907,60,"Rocky",2023-07-08
275063.789771528,5801665.59930354,58,"Rocky",2023-07-09
275043.611541369,5801624.10220488,55,"Rocky",2023-07-10
275014.070969545,5801493.09588106,62,"Rocky",2023-07-11
275022.771891763,5801533.24009565,63,"Rocky",2023-07-12
275050.432520181,5801620.18379937,55,"Rocky",2023-07-13
275046.538216594,5801636.3679882,57,"Rocky",2023-07-14
275064.933830009,5801632.91152367,47,"Rocky",2023-07-15
275052.358949466,5801606.35955505,58,"Rocky",2023-07-16
274668.161403801,5802204.50087802,60,"Rocky",2023-07-17
274680.727831457,5802281.39047526,59,"Rocky",2023-07-18
275052.807508277,5801600.65654588,62,"Rocky",2023-07-19
274974.50321599,5801453.17752028,55,"Rocky",2023-07-20
275012.868776031,5801538.00087345,56,"Rocky",2023-07-21
274666.323109287,5802217.55222214,59,"Rocky",2023-07-22
274997.404853066,5801425.75690617,58,"Rocky",2023-07-23
275015.919531619,5801488.91680929,53,"Rocky",2023-07-24
275022.442134053,5801498.28316796,54,"Rocky",2023-07-25
275018.487303025,5801470.28454962,62,"Rocky",2023-07-26
274703.345643208,5802223.23000225,65,"Rocky",2023-07-27
275018.692165591,5801482.32862682,63,"Rocky",2023-07-28
275014.741772323,5801485.7036143,63,"Rocky",2023-07-29
275017.851655305,5801474.19850753,67,"Rocky",2023-07-30
274691.666416402,5802202.09472429,66,"Rocky",2023-07-31
274701.741533693,5802141.0134381,58,"Rocky",2023-08-01
274673.859426715,5802203.13930748,65,"Rocky",2023-08-02
274686.900940613,5802151.38697845,68,"Rocky",2023-08-03
275042.728415797,5802983.41019173,55,"Freckle",2023-06-11
274503.478741645,5802212.8577772,58,"Freckle",2023-06-12
274515.833037523,5802228.42701459,56,"Freckle",2023-06-13
274563.27781883,5802225.91222944,57,"Freckle",2023-06-14
274573.891657692,5802255.77863922,53,"Freckle",2023-06-15
274565.347926485,5802230.25081355,55,"Freckle",2023-06-16
274624.562062824,5802296.23089825,56,"Freckle",2023-06-17
274648.699523465,5802258.77204076,55,"Freckle",2023-06-18
274602.143523729,5802290.21546536,54,"Freckle",2023-06-19
274571.448261621,5802213.03298515,52,"Freckle",2023-06-20
274393.133727088,5801925.56290662,55,"Freckle",2023-06-21
274476.438454702,5802198.41793253,49,"Freckle",2023-06-22
274480.281411975,5802202.01950644,53,"Freckle",2023-06-23
274534.672282875,5802171.36390757,58,"Freckle",2023-06-24
274468.217431505,5802220.43558258,51,"Freckle",2023-06-25
274474.431286248,5802206.22570979,43,"Freckle",2023-06-26
274504.640386076,5802170.33922375,53,"Freckle",2023-06-27
274531.982163039,5802124.2637496,55,"Freckle",2023-06-28
274527.821942787,5802167.2091863,55,"Freckle",2023-06-29
274512.918164738,5802098.86114131,57,"Freckle",2023-06-30
274574.430113404,5802148.64712601,54,"Freckle",2023-07-01
274530.582497183,5802180.60621865,52,"Freckle",2023-07-02
274553.992408991,5802111.83260393,49,"Freckle",2023-07-03
274876.94106212,5802414.81778912,54,"Freckle",2023-07-04
274582.462385206,5802129.68747591,57,"Freckle",2023-07-05
274568.419847224,5802148.96143871,58,"Freckle",2023-07-06
274659.959571034,5802206.33959332,57,"Freckle",2023-07-07
274675.292952395,5802203.27714716,56,"Freckle",2023-07-08
274673.778353974,5802219.56349984,57,"Freckle",2023-07-09
274664.425314852,5802218.28096643,54,"Freckle",2023-07-10
274662.128880708,5802205.02928364,54,"Freckle",2023-07-11
274675.189567929,5802213.88531822,54,"Freckle",2023-07-12
274683.110544414,5802220.71109823,56,"Freckle",2023-07-13
274663.747187921,5802195.49117351,53,"Freckle",2023-07-14
274688.711226996,5802234.32924886,58,"Freckle",2023-07-15
274465.602190786,5802100.94573053,58,"Freckle",2023-07-16
274658.861320355,5802218.86349114,57,"Freckle",2023-07-17
