"id","date_bird","state1","state2","state3","state4","total","state1p","state2p","state3p","state4p"
"Aurora","2022-11-26",15,58,0,0,73,0.205479452054795,0.794520547945205,0,0
"Briar","2022-11-26",212,63,13,0,288,0.736111111111111,0.21875,0.0451388888888889,0
"Nutmeg","2022-11-26",28,114,4,3,149,0.187919463087248,0.76510067114094,0.0268456375838926,0.0201342281879195
"Robin","2022-11-26",10,72,0,0,82,0.121951219512195,0.878048780487805,0,0
"Aurora","2022-11-27",162,61,5,0,228,0.710526315789474,0.267543859649123,0.0219298245614035,0
"Briar","2022-11-27",246,103,0,6,355,0.692957746478873,0.290140845070423,0,0.0169014084507042
"Nutmeg","2022-11-27",173,45,14,2,234,0.739316239316239,0.192307692307692,0.0598290598290598,0.00854700854700855
"Robin","2022-11-27",317,116,5,4,442,0.717194570135747,0.262443438914027,0.0113122171945701,0.00904977375565611
"Aurora","2022-11-28",0,90,5,0,95,0,0.947368421052632,0.0526315789473684,0
"Briar","2022-11-28",125,169,44,2,340,0.367647058823529,0.497058823529412,0.129411764705882,0.00588235294117647
"Nutmeg","2022-11-28",159,89,14,1,263,0.604562737642586,0.338403041825095,0.0532319391634981,0.00380228136882129
"Robin","2022-11-28",361,105,11,4,481,0.750519750519751,0.218295218295218,0.0228690228690229,0.00831600831600832
"Aurora","2022-11-29",39,99,6,1,145,0.268965517241379,0.682758620689655,0.0413793103448276,0.00689655172413793
"Briar","2022-11-29",73,184,5,11,273,0.267399267399267,0.673992673992674,0.0183150183150183,0.0402930402930403
"Nutmeg","2022-11-29",287,77,3,3,370,0.775675675675676,0.208108108108108,0.00810810810810811,0.00810810810810811
"Robin","2022-11-29",186,81,2,2,271,0.686346863468635,0.298892988929889,0.00738007380073801,0.00738007380073801
"Aurora","2022-11-30",0,62,2,0,64,0,0.96875,0.03125,0
"Briar","2022-11-30",124,34,30,4,192,0.645833333333333,0.177083333333333,0.15625,0.0208333333333333
"Nutmeg","2022-11-30",20,40,10,5,75,0.266666666666667,0.533333333333333,0.133333333333333,0.0666666666666667
"Robin","2022-11-30",286,3,4,0,293,0.976109215017065,0.0102389078498294,0.0136518771331058,0
"Aurora","2022-12-01",6,74,0,1,81,0.0740740740740741,0.91358024691358,0,0.0123456790123457
"Briar","2022-12-01",7,38,24,29,98,0.0714285714285714,0.387755102040816,0.244897959183673,0.295918367346939
"Nutmeg","2022-12-01",6,64,9,1,80,0.075,0.8,0.1125,0.0125
"Robin","2022-12-01",118,49,0,0,167,0.706586826347305,0.293413173652695,0,0
"Aurora","2022-12-02",44,72,0,7,123,0.357723577235772,0.585365853658537,0,0.0569105691056911
"Briar","2022-12-02",152,164,27,5,348,0.436781609195402,0.471264367816092,0.0775862068965517,0.014367816091954
"Nutmeg","2022-12-02",100,126,22,0,248,0.403225806451613,0.508064516129032,0.0887096774193548,0
"Robin","2022-12-02",358,55,5,4,422,0.848341232227488,0.130331753554502,0.0118483412322275,0.00947867298578199
"Aurora","2022-12-03",11,80,10,0,101,0.108910891089109,0.792079207920792,0.099009900990099,0
"Briar","2022-12-03",47,41,21,13,122,0.385245901639344,0.336065573770492,0.172131147540984,0.10655737704918
"Nutmeg","2022-12-03",0,47,25,8,80,0,0.5875,0.3125,0.1
"Robin","2022-12-03",20,25,28,5,78,0.256410256410256,0.320512820512821,0.358974358974359,0.0641025641025641
"Aurora","2022-12-04",5,78,11,10,104,0.0480769230769231,0.75,0.105769230769231,0.0961538461538462
"Briar","2022-12-04",28,32,3,15,78,0.358974358974359,0.41025641025641,0.0384615384615385,0.192307692307692
"Nutmeg","2022-12-04",9,37,4,9,59,0.152542372881356,0.627118644067797,0.0677966101694915,0.152542372881356
"Robin","2022-12-04",24,40,4,24,92,0.260869565217391,0.434782608695652,0.0434782608695652,0.260869565217391
"Aurora","2022-12-05",0,59,5,3,67,0,0.880597014925373,0.0746268656716418,0.0447761194029851
"Briar","2022-12-05",19,87,0,0,106,0.179245283018868,0.820754716981132,0,0
"Nutmeg","2022-12-05",0,91,0,1,92,0,0.989130434782609,0,0.0108695652173913
"Robin","2022-12-05",134,24,0,2,160,0.8375,0.15,0,0.0125
"Aurora","2022-12-06",7,62,3,8,80,0.0875,0.775,0.0375,0.1
"Briar","2022-12-06",109,106,6,14,235,0.463829787234043,0.451063829787234,0.025531914893617,0.0595744680851064
"Nutmeg","2022-12-06",284,166,0,2,452,0.628318584070796,0.367256637168142,0,0.00442477876106195
"Robin","2022-12-06",340,13,0,0,353,0.963172804532578,0.0368271954674221,0,0
"Aurora","2022-12-07",154,33,6,5,198,0.777777777777778,0.166666666666667,0.0303030303030303,0.0252525252525253
"Briar","2022-12-07",0,58,25,5,88,0,0.659090909090909,0.284090909090909,0.0568181818181818
"Nutmeg","2022-12-07",0,92,16,2,110,0,0.836363636363636,0.145454545454545,0.0181818181818182
"Robin","2022-12-07",234,72,0,0,306,0.764705882352941,0.235294117647059,0,0
"Aurora","2022-12-08",135,100,3,3,241,0.560165975103734,0.4149377593361,0.012448132780083,0.012448132780083
"Briar","2022-12-08",79,188,23,12,302,0.26158940397351,0.622516556291391,0.076158940397351,0.0397350993377483
"Nutmeg","2022-12-08",188,43,23,1,255,0.737254901960784,0.168627450980392,0.0901960784313725,0.00392156862745098
"Robin","2022-12-08",338,39,0,3,380,0.889473684210526,0.102631578947368,0,0.00789473684210526
"Aurora","2022-12-09",171,40,15,6,232,0.737068965517241,0.172413793103448,0.0646551724137931,0.0258620689655172
"Briar","2022-12-09",52,176,45,25,298,0.174496644295302,0.590604026845638,0.151006711409396,0.0838926174496644
"Nutmeg","2022-12-09",127,132,20,25,304,0.417763157894737,0.434210526315789,0.0657894736842105,0.0822368421052632
"Robin","2022-12-09",183,257,6,3,449,0.407572383073497,0.572383073496659,0.0133630289532294,0.0066815144766147
"Aurora","2022-12-10",2,24,29,14,69,0.0289855072463768,0.347826086956522,0.420289855072464,0.202898550724638
"Briar","2022-12-10",0,36,4,27,67,0,0.537313432835821,0.0597014925373134,0.402985074626866
"Nutmeg","2022-12-10",0,44,22,11,77,0,0.571428571428571,0.285714285714286,0.142857142857143
"Robin","2022-12-10",56,53,0,9,118,0.474576271186441,0.449152542372881,0,0.076271186440678
"Aurora","2022-12-11",0,24,24,0,48,0,0.5,0.5,0
"Briar","2022-12-11",0,37,31,8,76,0,0.486842105263158,0.407894736842105,0.105263157894737
"Nutmeg","2022-12-11",0,22,26,7,55,0,0.4,0.472727272727273,0.127272727272727
"Robin","2022-12-11",0,60,18,6,84,0,0.714285714285714,0.214285714285714,0.0714285714285714
