"id","date","dist_release"
"Brook",2023-01-19,912.889179171685
"Clover",2023-01-19,868.772621140339
"Iona",2023-01-19,68.1006042841427
"Koda",2023-01-19,501.245689590972
"Prem",2023-01-19,383.521865630308
"Robin",2023-01-19,1294.74922783869
"Rove",2023-01-19,77.8711738845458
"Sage",2023-01-19,364.168705721331
"Valentine",2023-01-19,1303.12357990193
"Marmalade",2023-01-19,870.133839761079
"Nutmeg",2023-01-19,1268.90245687729
"Aurora",2023-01-20,1206.44682163679
"Briar",2023-01-20,1219.05957433997
"Brook",2023-01-20,854.634469812867
"Clover",2023-01-20,542.966697644599
"Iona",2023-01-20,95.8226991563713
"Koda",2023-01-20,572.424648681824
"Prem",2023-01-20,552.919241129398
"Robin",2023-01-20,1200.2449160173
"Rove",2023-01-20,98.9979196982073
"Sage",2023-01-20,580.39239812011
"Valentine",2023-01-20,1215.07768353567
"Marmalade",2023-01-20,543.0437413644
"Nutmeg",2023-01-20,1215.21818270409
"Aurora",2023-01-21,1273.3144516923
"Briar",2023-01-21,1276.90997611882
"Brook",2023-01-21,1243.6373107281
"Clover",2023-01-21,514.060991479295
"Iona",2023-01-21,93.1529141671217
"Koda",2023-01-21,564.160890996721
"Prem",2023-01-21,564.094212720077
"Robin",2023-01-21,1274.47786436626
"Rove",2023-01-21,96.7791416900009
"Sage",2023-01-21,560.512707609764
"Valentine",2023-01-21,1279.86168601631
"Marmalade",2023-01-21,512.811063170729
"Nutmeg",2023-01-21,1255.95211967217
"Aurora",2023-01-22,1311.15445571456
"Briar",2023-01-22,1295.33180714705
"Brook",2023-01-22,1303.61648597809
"Clover",2023-01-22,519.166060417713
"Iona",2023-01-22,182.824857564128
"Koda",2023-01-22,584.209488274147
"Prem",2023-01-22,573.223875752805
"Robin",2023-01-22,1294.69432202081
"Rove",2023-01-22,181.814211339025
"Sage",2023-01-22,537.768904968657
"Valentine",2023-01-22,1301.98195330856
"Marmalade",2023-01-22,508.393605660659
"Nutmeg",2023-01-22,1312.2340640598
"Aurora",2023-01-23,1301.61899690202
"Briar",2023-01-23,1288.11385532136
"Brook",2023-01-23,1281.45356485011
"Clover",2023-01-23,523.924735020144
"Iona",2023-01-23,251.546471579273
"Koda",2023-01-23,615.507620427265
"Prem",2023-01-23,622.561625352206
"Robin",2023-01-23,1283.84619207705
"Rove",2023-01-23,251.137501601914
"Sage",2023-01-23,617.838578882753
"Valentine",2023-01-23,1301.64465203522
"Marmalade",2023-01-23,523.382038469661
"Nutmeg",2023-01-23,1277.6464298637
"Aurora",2023-01-24,1295.71859776417
"Briar",2023-01-24,1299.92538611069
"Brook",2023-01-24,1298.33109490171
"Clover",2023-01-24,562.444958403755
"Iona",2023-01-24,243.020995828167
"Koda",2023-01-24,545.266185434088
"Prem",2023-01-24,561.121712741666
"Robin",2023-01-24,1289.98380225378
"Rove",2023-01-24,254.359504801521
"Sage",2023-01-24,549.832844439026
"Valentine",2023-01-24,1300.27736518555
"Marmalade",2023-01-24,556.570251768878
"Nutmeg",2023-01-24,1294.83361418679
"Aurora",2023-01-25,1303.5656788205
"Briar",2023-01-25,1278.99274696651
"Brook",2023-01-25,1307.48511195797
"Clover",2023-01-25,561.020899094013
"Iona",2023-01-25,126.890184750578
"Koda",2023-01-25,554.608079971417
"Prem",2023-01-25,550.402490425182
"Robin",2023-01-25,1309.35854979132
"Rove",2023-01-25,151.372691484798
"Sage",2023-01-25,534.137161770994
"Valentine",2023-01-25,1308.67873128255
